<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2016.10.09	1.23949	1.24432	1.20887	1.21890	693646	0	17
2016.10.16	1.21540	1.23307	1.21349	1.22269	472660	0	19
2016.10.23	1.22191	1.22704	1.20813	1.21909	532616	0	19
2016.10.30	1.21869	1.25564	1.21428	1.25163	524567	0	19
2016.11.06	1.24496	1.26727	1.23511	1.25926	722456	0	19
2016.11.13	1.25636	1.25915	1.23012	1.23433	671415	0	19
2016.11.20	1.23405	1.25118	1.23116	1.24780	621060	0	19
2016.11.27	1.24585	1.27361	1.23846	1.27284	598276	0	17
2016.12.04	1.26766	1.27740	1.25482	1.25743	556335	0	19
2016.12.11	1.25733	1.27271	1.23750	1.24843	691151	0	19
2016.12.18	1.24790	1.25014	1.22276	1.22837	603386	0	19
2016.12.25	1.22811	1.23873	1.21997	1.23356	510760	0	19
2017.01.01	1.23373	1.24316	1.21981	1.22824	568673	0	19
2017.01.08	1.22500	1.23162	1.20368	1.21996	649120	0	19
2017.01.15	1.19994	1.24160	1.19865	1.23735	763674	0	19
2017.01.22	1.23732	1.26728	1.23691	1.25478	630448	0	19
2017.01.29	1.25868	1.27054	1.24115	1.24789	859905	40803799591962	19
2017.02.05	1.24823	1.25813	1.23460	1.24847	1558855	155874298441257	19
2017.02.12	1.24692	1.25476	1.23823	1.24066	1503536	150353598496464	19
2017.02.19	1.24064	1.25691	1.24006	1.24575	1690417	169041698309583	19
2017.02.26	1.24723	1.24779	1.22135	1.22952	1699012	169901198300988	19
2017.03.05	1.22858	1.22998	1.21335	1.21656	1671432	167143198328568	17
2017.03.12	1.21669	1.24040	1.21082	1.23915	1732285	173228498267715	19
2017.03.19	1.23834	1.25302	1.23342	1.24738	1528251	151658398483416	19
2017.03.26	1.24903	1.26147	1.23759	1.25465	1601147	160114698398853	19
2017.04.02	1.25412	1.25548	1.23650	1.23709	1587675	158767498412325	19
2017.04.09	1.23771	1.25733	1.23648	1.25227	1429622	142962198570378	19
2017.04.16	1.25266	1.29049	1.25141	1.28059	1665625	166562498334195	19
2017.04.23	1.28347	1.29643	1.27712	1.29476	1671852	167185198327956	19
2017.04.30	1.29335	1.29832	1.28300	1.29778	1432591	143259098567361	19
