<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2016.01.03	0.73735	0.75251	0.73118	0.75245	587577	0	15
2016.01.10	0.75104	0.76940	0.74419	0.76535	659343	0	15
2016.01.17	0.76597	0.77550	0.75250	0.75679	701089	0	15
2016.01.24	0.75589	0.76654	0.75493	0.76028	660315	0	12
2016.01.31	0.75980	0.77159	0.75253	0.76923	694645	0	0
2016.02.07	0.76857	0.78969	0.76605	0.77574	939766	0	15
2016.02.14	0.77467	0.78444	0.76950	0.77270	762886	0	15
2016.02.21	0.77862	0.79281	0.77675	0.78768	814052	0	15
2016.02.28	0.78717	0.78972	0.76904	0.77337	715979	0	15
2016.03.06	0.77237	0.78476	0.76518	0.77497	652238	0	15
2016.03.13	0.77516	0.79108	0.77349	0.77839	629392	0	15
2016.03.20	0.77921	0.79457	0.77901	0.78979	479471	0	15
2016.03.27	0.78944	0.80195	0.78296	0.80038	525208	0	15
2016.04.03	0.80111	0.81165	0.79592	0.80648	536265	0	15
2016.04.10	0.80864	0.80889	0.79245	0.79414	494878	0	15
2016.04.17	0.79545	0.79927	0.77807	0.77860	456875	0	15
2016.04.24	0.77509	0.78420	0.77345	0.78334	495478	0	15
2016.05.01	0.78557	0.79465	0.78208	0.78998	541385	0	14
2016.05.08	0.79019	0.79271	0.78453	0.78729	477598	0	14
2016.05.15	0.78791	0.78930	0.76482	0.77384	487988	0	15
2016.05.22	0.77268	0.77533	0.75642	0.76008	477420	0	15
2016.05.29	0.76020	0.78337	0.75720	0.78323	523229	0	15
2016.06.05	0.78474	0.79308	0.77511	0.78930	557373	0	15
2016.06.12	0.78779	0.79940	0.78414	0.78527	694410	0	15
2016.06.19	0.78268	0.83128	0.75994	0.81117	876171	0	15
2016.06.26	0.81996	0.84051	0.81767	0.83869	853751	0	15
2016.07.03	0.84024	0.86277	0.83520	0.85309	672371	0	15
2016.07.10	0.85312	0.85786	0.82475	0.83657	714723	0	15
2016.07.17	0.83655	0.84263	0.82992	0.83685	606118	0	15
2016.07.24	0.83479	0.84775	0.83366	0.84504	586214	0	15
2016.07.31	0.84393	0.85041	0.83433	0.84855	524492	0	15
2016.08.07	0.84685	0.86521	0.84682	0.86399	434014	0	15
2016.08.14	0.86364	0.87240	0.85904	0.86585	500906	0	15
